"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe"
"1",58,5,"2","2","3","1","0","0","1","1","0","0","0",0
"2",44,5,"3","1","2","1","0","0","1","0","0","0","0",0
"3",33,5,"2","2","2","1","1","0","1","0","0","0","0",0
"4",47,5,"1","2","0","1","0","0","1","0","0","0","0",0
"5",33,5,"0","1","0","0","0","0","1","1","0","0","0",0
"6",35,5,"2","2","3","1","0","0","1","0","0","0","0",0
"7",28,5,"2","1","3","1","1","0","1","1","0","0","0",0
"8",42,5,"2","0","3","1","0","0","1","2","0","0","0",0
"9",58,5,"0","2","1","1","0","0","1","0","0","0","0",0
"10",43,5,"3","1","2","1","0","0","1","0","0","0","0",0
"11",41,5,"3","0","2","1","0","0","1","1","0","0","0",0
"12",29,5,"3","1","2","1","0","0","1","0","0","0","0",0
"13",53,5,"3","2","2","1","0","0","1","2","0","0","0",0
"14",58,5,"3","2","0","1","0","0","1","0","0","0","0",0
"15",57,5,"3","2","2","1","0","0","1","0","0","0","0",0
"16",51,5,"0","2","1","1","0","0","1","2","0","0","0",0
"17",45,5,"3","1","0","1","0","0","1","0","0","0","0",0
"18",57,5,"1","2","1","1","0","0","1","0","0","0","0",0
"19",60,5,"0","2","1","1","0","0","1","1","0","0","0",0
"20",33,5,"3","2","2","1","0","0","1","0","0","0","0",0
"21",28,5,"1","2","2","1","1","0","1","1","0","0","0",0
"22",56,5,"2","2","3","1","0","0","1","0","0","0","0",0
"23",32,5,"1","1","1","1","1","0","1","0","0","0","0",0
"24",25,5,"3","2","2","1","0","0","1","2","0","0","0",0
"25",40,5,"0","2","1","1","1","0","1","1","0","0","0",0
"26",44,5,"3","2","2","1","0","0","1","0","0","0","0",0
"27",39,5,"2","1","3","1","0","0","1","1","0","0","0",0
"28",52,5,"2","2","2","1","1","0","1","0","0","0","0",0
"29",46,5,"2","1","2","1","0","0","1","1","1","0","0",0
"30",36,5,"3","1","2","1","1","0","1","2","0","0","0",0
"31",57,5,"3","2","2","0","1","0","1","1","0","0","0",0
"32",49,5,"2","2","3","1","0","0","1","1","0","0","0",0
"33",60,5,"3","2","2","1","1","0","1","1","0","0","0",0
"34",59,5,"1","2","2","1","0","0","1","1","0","0","0",0
"35",51,5,"2","2","3","1","0","0","1","2","0","0","0",0
"36",57,5,"3","0","2","1","0","0","1","1","0","0","0",0
"37",25,5,"1","2","2","1","0","0","1","2","0","0","0",0
"38",53,5,"3","2","2","0","0","0","1","2","0","0","0",0
"39",36,5,"3","0","2","1","0","0","1","2","0","0","0",0
"40",37,5,"3","1","2","1","0","0","1","0","0","0","0",0
"41",44,5,"3","0","2","1","0","0","1","0","0","0","0",0
"42",50,5,"2","2","2","1","0","0","1","0","1","0","0",0
"43",60,5,"1","2","0","1","0","0","1","0","0","0","0",0
"44",54,5,"0","2","2","1","0","0","1","2","0","0","0",0
