"","(Intercept)","age","day","grp.jobNotWorking","grp.jobWhiteCollar","grp.jobWorkers","maritalMarried","maritalSingle","education2nd","education3rd","educationUnknown","housingYes","loanYes","contactTelephone","contactUnknown","grp.monthSpring","grp.monthSummer","grp.monthWinter","grp.duration0To180","grp.duration320Plus","grp.campaign1","grp.campaign4Plus","grp.pdays200Plus","grp.pdaysCNPC","grp.previous0","grp.previous4Plus","yYes"
"36723",1,0.194805194805195,0.366666666666667,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
"35335",1,0.519480519480519,0.2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"29899",1,0.168831168831169,0.1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
"14132",1,0.480519480519481,0.333333333333333,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"30962",1,0.168831168831169,0.266666666666667,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
"14395",1,0.142857142857143,0.433333333333333,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"15832",1,0.220779220779221,0.666666666666667,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"15503",1,0.194805194805195,0.566666666666667,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"23290",1,0.194805194805195,0.866666666666667,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"45073",1,0.467532467532468,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"29864",1,0.324675324675325,0.1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"41199",1,0.220779220779221,0.633333333333333,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
"27337",1,0.168831168831169,0.666666666666667,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
