"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe","test.subscribe"
"1",58,5,"2","2","3","1","0","0","1","1","0","0","0",0,0
"6",35,5,"2","2","3","1","0","0","1","0","0","0","0",0,0
"7",28,5,"2","1","3","1","1","0","1","1","0","0","0",0,0
"9",58,5,"0","2","1","1","0","0","1","0","0","0","0",0,0
"11",41,5,"3","0","2","1","0","0","1","1","0","0","0",0,0
"19",60,5,"0","2","1","1","0","0","1","1","0","0","0",0,0
"20",33,5,"3","2","2","1","0","0","1","0","0","0","0",0,0
"27",39,5,"2","1","3","1","0","0","1","1","0","0","0",0,0
"31",57,5,"3","2","2","0","1","0","1","1","0","0","0",0,0
"36",57,5,"3","0","2","1","0","0","1","1","0","0","0",0,0
"43",60,5,"1","2","0","1","0","0","1","0","0","0","0",0,0
"49",55,5,"3","0","2","0","0","0","1","0","0","0","0",0,0
"56",38,5,"2","1","3","0","1","0","1","0","0","0","0",0,0
"59",40,5,"1","1","0","1","0","0","1","1","0","0","0",0,0
"60",46,5,"3","2","1","1","0","0","1","2","0","0","0",0,0
"66",51,5,"2","2","3","1","0","0","1","0","0","0","0",0,0
"68",59,5,"2","0","3","1","0","0","1","1","0","0","0",0,0
"73",54,5,"2","2","2","1","1","0","1","0","0","0","0",0,0
"74",55,5,"1","2","1","1","0","0","1","1","0","0","0",0,0
"75",43,5,"3","2","2","1","0","0","1","1","0","0","0",0,0
"78",55,5,"3","0","2","0","0","0","1","2","0","0","0",0,0
"83",42,5,"3","1","2","1","0","0","1","0","0","0","0",0,0
"86",51,5,"1","2","1","1","0","0","1","2","1","0","0",0,0
"88",41,5,"3","2","2","1","0","0","1","2","0","0","0",1,0
"94",60,5,"1","2","0","1","0","0","1","1","0","0","0",0,0
"97",55,5,"1","2","2","0","0","0","1","1","0","0","0",0,0
"99",39,5,"3","2","2","1","0","0","1","1","0","0","0",0,0
"101",44,5,"1","2","2","1","0","0","1","1","0","0","0",0,0
"103",52,5,"1","2","1","1","0","0","1","1","0","0","0",0,0
"106",44,5,"1","2","2","1","0","0","1","1","0","0","0",0,0
"108",34,5,"3","2","2","0","1","0","1","0","0","0","0",0,0
"111",29,5,"3","0","2","1","0","0","1","1","0","0","0",0,0
"114",36,5,"1","2","1","1","0","0","1","1","0","0","0",0,0
"118",33,5,"2","1","3","1","0","0","1","2","0","0","0",0,0
"120",57,5,"3","2","1","0","0","0","1","0","0","0","0",0,0
"125",52,5,"3","2","3","0","1","0","1","0","0","0","0",0,0
"126",33,5,"3","1","2","1","0","0","1","1","1","0","0",0,0
"129",31,5,"1","2","2","1","0","0","1","0","0","0","0",0,0
"134",55,5,"3","1","2","1","1","0","1","0","1","0","0",0,0
"137",32,5,"3","1","2","1","0","0","1","0","0","0","0",0,0
"139",32,5,"1","2","2","1","0","0","1","2","0","0","0",0,0
"142",34,5,"2","1","2","1","0","0","1","1","0","0","0",0,0
"144",37,5,"1","2","2","1","0","0","1","1","0","0","0",0,0
"158",60,5,"0","0","2","1","0","0","1","1","0","0","0",0,0
"159",52,5,"1","2","2","1","0","0","1","0","1","0","0",0,0
"161",48,5,"3","2","0","1","0","0","1","0","0","0","0",0,0
"169",54,5,"3","2","3","0","0","0","1","2","1","0","0",1,0
"171",35,5,"1","2","2","1","0","0","1","2","0","0","0",0,0
"172",44,5,"3","2","2","1","1","0","1","1","0","0","0",0,0
"176",53,5,"3","0","2","1","0","0","1","2","0","0","0",0,0
"181",31,5,"3","2","3","1","0","0","1","1","0","0","0",0,0
"182",35,5,"3","0","2","1","0","0","1","2","1","0","0",0,0
"186",58,5,"0","2","1","1","0","0","1","0","0","0","0",0,0
"189",34,5,"1","1","2","1","1","0","1","2","0","0","0",0,0
"190",31,5,"2","1","3","1","0","0","1","2","0","0","0",0,0
"193",55,5,"2","2","3","1","0","0","1","0","1","0","0",0,0
"196",33,5,"1","1","2","1","0","0","1","1","1","0","0",0,0
"198",50,5,"3","0","3","0","1","0","1","0","0","0","0",0,0
"201",47,5,"3","2","2","1","0","0","1","2","0","0","0",0,0
"205",35,5,"3","2","2","1","0","0","1","2","0","0","0",0,0
"210",42,5,"0","2","2","1","0","0","1","1","0","0","0",0,0
"211",38,5,"1","2","2","1","0","0","1","1","0","0","0",0,0
"215",54,5,"1","2","1","1","0","0","1","1","0","0","0",0,0
"220",39,5,"2","2","3","1","1","0","1","0","1","0","0",0,0
"228",33,5,"2","1","3","1","0","0","1","0","0","0","0",0,0
"231",47,5,"1","2","1","1","0","0","1","0","0","0","0",0,0
"232",31,5,"3","2","2","1","0","0","1","2","1","0","0",0,0
"233",57,5,"2","2","2","1","0","0","1","2","1","0","0",0,0
"236",45,5,"1","2","1","1","0","0","1","0","0","0","0",0,0
"242",43,5,"2","2","0","1","0","0","1","2","0","0","0",0,0
