"","age","day","grp.job","marital","education","housing","loan","contact","grp.month","grp.duration","grp.campaign","grp.pdays","grp.previous","y.subscribe","train.subscribe"
"6155",31,27,"3","2","2","1","0","0","1","0","0","0","0",0,0
"3980",43,16,"3","1","3","1","0","0","1","1","1","0","0",0,0
"43651",37,7,"3","2","3","1","0","2","1","1","1","2","1",0,0
"6427",49,27,"3","0","2","1","0","0","1","2","1","0","0",0,0
"22230",30,21,"3","1","3","1","0","2","2","1","2","0","0",0,0
"10943",36,17,"1","0","1","0","0","0","2","0","2","0","0",0,0
"37159",34,13,"1","2","2","1","0","2","1","2","0","0","0",1,0
"17361",49,28,"2","1","3","1","0","2","2","2","1","0","0",0,0
"3107",41,14,"1","2","2","1","0","0","1","0","1","0","0",0,0
"33292",59,20,"1","0","3","0","0","2","1","2","0","2","1",0,0
"13624",43,9,"3","0","1","0","1","2","2","2","2","0","0",0,0
"27497",46,21,"3","2","2","0","1","2","3","0","2","0","0",0,0
"1978",38,9,"2","2","2","0","0","0","1","1","1","0","0",0,0
"33362",44,20,"3","0","2","1","0","2","1","2","0","0","0",0,0
"23252",41,27,"3","2","2","1","0","2","2","0","1","0","0",0,0
"521",46,6,"2","1","0","1","0","0","1","1","0","0","0",0,0
"4267",45,19,"2","2","3","1","0","0","1","1","1","0","0",0,0
"23732",31,28,"3","1","3","0","0","2","2","0","2","0","0",0,0
"27265",34,21,"2","2","3","0","0","2","3","0","1","0","0",0,0
"6471",36,27,"1","2","2","1","0","0","1","2","1","0","0",0,0
"7009",36,28,"3","2","2","1","0","0","1","2","1","0","0",0,0
"37258",42,13,"3","1","2","1","0","2","1","0","0","0","0",0,0
"25091",36,18,"3","2","1","1","0","1","3","0","0","0","0",0,0
"9391",41,6,"1","2","2","1","0","0","2","0","1","0","0",0,0
"29030",43,2,"2","2","1","1","0","2","0","0","1","2","1",0,0
"25125",35,18,"1","2","2","0","0","2","3","0","1","0","0",0,0
"3857",40,16,"2","0","3","1","0","0","1","2","0","0","0",0,0
"8791",27,4,"1","2","2","1","0","0","2","1","0","0","0",0,0
"39968",38,3,"1","1","3","0","0","2","2","0","1","0","0",0,0
"15316",56,18,"1","0","1","0","0","2","2","1","1","0","0",0,0
"18504",31,31,"2","1","3","0","0","2","2","0","2","0","0",0,0
"37251",32,13,"1","1","1","1","0","2","1","2","0","0","0",1,0
"27089",31,21,"2","2","2","1","0","2","3","2","0","1","1",1,0
"39307",49,18,"3","2","2","1","1","2","1","0","1","0","0",0,0
"7786",42,30,"3","2","2","1","0","0","1","0","1","0","0",0,0
"12571",51,3,"1","1","1","0","0","0","2","0","0","0","0",0,0
"17267",39,28,"1","2","1","0","1","2","2","0","2","0","0",0,0
"13380",44,9,"3","2","3","1","1","2","2","0","1","0","0",0,0
"24109",42,30,"3","0","2","1","0","0","3","1","0","0","0",1,0
"19703",43,7,"3","2","3","0","0","2","2","0","2","0","0",0,0
"5753",30,26,"3","1","2","1","1","0","1","2","0","0","0",0,0
"14137",58,11,"1","0","1","0","0","2","2","2","1","0","0",0,0
"43081",82,19,"0","2","2","0","0","1","0","2","0","0","0",1,0
"26199",34,20,"2","2","3","1","0","2","3","1","0","0","0",0,0
"25558",56,19,"0","0","2","1","0","2","3","2","0","0","0",0,0
"17492",45,28,"2","2","1","1","0","1","2","0","2","0","0",0,0
"20571",33,12,"1","2","1","0","0","2","2","0","2","0","0",0,0
"4161",49,19,"1","2","1","1","0","0","1","0","0","0","0",0,0
"9244",38,5,"1","1","2","0","0","0","2","0","1","0","0",0,0
"39787",49,1,"3","2","2","0","0","2","2","2","0","0","0",1,0
"34299",32,4,"2","2","3","1","0","2","1","0","1","0","0",0,0
"25160",51,18,"0","0","3","0","0","2","3","0","0","0","0",0,0
"6822",23,28,"3","1","3","1","0","0","1","2","0","0","0",1,0
